ID,X1,X2,X3,X4,Y
1,21,1,71.0 ,12.7 ,170
2,22,6,56.5 ,8.0 ,120
3,24,5,56.0 ,4.3 ,125
4,24,1,61.0 ,4.3 ,148
5,25,1,65.0 ,20.7 ,140
6,27,19,62.0 ,5.7 ,106
7,28,5,53.0 ,8.0 ,120
8,28,25,53.0 ,0.0 ,108
9,31,6,65.0 ,10.0 ,124
10,32,13,57.0 ,6.0 ,134
11,33,13,66.5 ,8.3 ,116
12,33,10,59.1 ,10.3 ,114
13,34,15,64.0 ,7.0 ,130
14,35,18,69.5 ,7.0 ,118
15,35,2,64.0 ,6.7 ,138
16,36,12,56.5 ,11.7 ,134
17,36,15,57.0 ,6.0 ,120
18,37,16,55.0 ,7.0 ,120
19,37,17,57.0 ,11.7 ,114
20,38,10,58.0 ,13.0 ,124
21,38,18,59.5 ,7.7 ,114
22,38,11,61.0 ,4.0 ,136
23,38,11,57.0 ,3.0 ,126
24,39,21,57.5 ,5.0 ,124
25,39,24,74.0 ,15.7 ,128
26,39,14,72.0 ,13.3 ,134
27,41,25,62.5 ,8.0 ,112
28,41,32,68.0 ,11.3 ,128
29,41,5,63.4 ,13.7 ,134
30,42,12,68.0 ,10.7 ,128
31,43,25,69.0 ,6.0 ,140
32,43,26,73.0 ,5.7 ,138
33,43,10,64.0 ,7.0 ,118
34,44,19,65.0 ,7.7 ,110
35,44,18,71.0 ,4.3 ,142
36,45,10,60.2 ,3.3 ,134
37,47,1,55.0 ,4.0 ,116
38,50,43,70.0 ,11.7 ,132
39,54,40,87.0 ,11.3 ,152
